algorithm	dataset	psi	beta	purity
IKSHC	seeds	13	0.600000	0.840532
IKSHC	seeds	13	0.700000	0.863855
IKSHC	seeds	13	0.800000	0.864233
IKSHC	seeds	13	0.900000	0.839841
IKSHC	seeds	15	0.400000	0.827818
IKSHC	seeds	15	0.500000	0.828432
IKSHC	seeds	15	0.600000	0.836057
IKSHC	seeds	15	0.700000	0.889147
IKSHC	seeds	15	0.800000	0.834406
IKSHC	seeds	15	0.900000	0.869770
IKSHC	seeds	17	0.400000	0.822748
IKSHC	seeds	17	0.500000	0.874808
IKSHC	seeds	17	0.600000	0.876635
IKSHC	seeds	17	0.700000	0.821429
IKSHC	seeds	17	0.800000	0.875753
IKSHC	seeds	17	0.900000	0.843799
IKSHC	seeds	21	0.400000	0.840233
IKSHC	seeds	21	0.500000	0.861433
IKSHC	seeds	21	0.600000	0.839012
IKSHC	seeds	21	0.700000	0.876081
IKSHC	seeds	21	0.800000	0.820544
IKSHC	seeds	21	0.900000	0.849337
IKSHC	seeds	25	0.400000	0.846227
IKSHC	seeds	25	0.500000	0.846317
IKSHC	seeds	25	0.600000	0.872734
IKSHC	seeds	25	0.700000	0.864559
IKSHC	seeds	25	0.800000	0.845163
IKSHC	seeds	25	0.900000	0.874495
IKSHC	WDBC	3	0.400000	0.875845
IKSHC	WDBC	3	0.500000	0.886381
IKSHC	WDBC	3	0.600000	0.872384
IKSHC	WDBC	3	0.700000	0.894069
IKSHC	WDBC	3	0.800000	0.894451
IKSHC	WDBC	3	0.900000	0.889021
IKSHC	WDBC	5	0.400000	0.894180
IKSHC	WDBC	5	0.500000	0.884880
IKSHC	WDBC	5	0.600000	0.861676
IKSHC	WDBC	5	0.700000	0.866488
IKSHC	WDBC	5	0.800000	0.870956
IKSHC	WDBC	5	0.900000	0.870654
IKSHC	WDBC	7	0.400000	0.848950
IKSHC	WDBC	7	0.500000	0.871548
IKSHC	WDBC	7	0.600000	0.853474
IKSHC	WDBC	7	0.700000	0.848427
IKSHC	WDBC	7	0.800000	0.865571
IKSHC	WDBC	7	0.900000	0.886701
IKSHC	WDBC	13	0.400000	0.871226
IKSHC	WDBC	13	0.500000	0.867938
IKSHC	WDBC	13	0.600000	0.873685
IKSHC	WDBC	13	0.700000	0.877461
IKSHC	WDBC	13	0.800000	0.866331
IKSHC	WDBC	13	0.900000	0.857178
IKSHC	WDBC	15	0.400000	0.881602
IKSHC	WDBC	15	0.500000	0.852891
IKSHC	WDBC	15	0.600000	0.887800
IKSHC	WDBC	15	0.700000	0.839503
IKSHC	WDBC	15	0.800000	0.859281
IKSHC	WDBC	15	0.900000	0.846018
IKSHC	WDBC	17	0.400000	0.843047
IKSHC	WDBC	17	0.500000	0.865126
IKSHC	WDBC	17	0.600000	0.875161
IKSHC	WDBC	17	0.700000	0.859307
IKSHC	WDBC	17	0.800000	0.858157
IKSHC	WDBC	17	0.900000	0.867357
IKSHC	WDBC	21	0.400000	0.859024
IKSHC	WDBC	21	0.500000	0.863194
IKSHC	WDBC	21	0.600000	0.848376
IKSHC	WDBC	21	0.700000	0.857666
IKSHC	WDBC	21	0.800000	0.835961
IKSHC	WDBC	21	0.900000	0.785787
IKSHC	WDBC	25	0.400000	0.846635
IKSHC	WDBC	25	0.500000	0.852927
IKSHC	WDBC	25	0.600000	0.833144
IKSHC	WDBC	25	0.700000	0.847039
IKSHC	WDBC	25	0.800000	0.829928
IKSHC	WDBC	25	0.900000	0.847155
IKSHC	WDBC	3	0.400000	0.889984
IKSHC	WDBC	3	0.500000	0.885200
IKSHC	WDBC	3	0.600000	0.866670
IKSHC	WDBC	3	0.700000	0.898197
IKSHC	WDBC	3	0.800000	0.874631
IKSHC	WDBC	3	0.900000	0.884651
IKSHC	WDBC	5	0.400000	0.883876
IKSHC	WDBC	5	0.500000	0.876505
IKSHC	WDBC	5	0.600000	0.905770
IKSHC	WDBC	5	0.700000	0.864833
IKSHC	WDBC	5	0.800000	0.899389
IKSHC	WDBC	5	0.900000	0.888574
IKSHC	WDBC	7	0.400000	0.877828
IKSHC	WDBC	7	0.500000	0.871228
IKSHC	WDBC	7	0.600000	0.881700
IKSHC	WDBC	7	0.700000	0.876642
IKSHC	WDBC	7	0.800000	0.873167
IKSHC	WDBC	7	0.900000	0.886697
IKSHC	WDBC	13	0.400000	0.872707
IKSHC	WDBC	13	0.500000	0.878801
IKSHC	WDBC	13	0.600000	0.880450
IKSHC	WDBC	13	0.700000	0.864928
IKSHC	WDBC	13	0.800000	0.862670
IKSHC	WDBC	13	0.900000	0.898206
IKSHC	WDBC	15	0.400000	0.881558
IKSHC	WDBC	15	0.500000	0.875207
IKSHC	WDBC	15	0.600000	0.885495
IKSHC	WDBC	15	0.700000	0.902542
IKSHC	WDBC	15	0.800000	0.892678
IKSHC	WDBC	15	0.900000	0.891471
IKSHC	WDBC	17	0.400000	0.872501
IKSHC	WDBC	17	0.500000	0.910063
IKSHC	WDBC	17	0.600000	0.899163
IKSHC	WDBC	17	0.700000	0.889851
IKSHC	WDBC	17	0.800000	0.903589
IKSHC	WDBC	17	0.900000	0.885856
IKSHC	WDBC	21	0.400000	0.874741
IKSHC	WDBC	21	0.500000	0.865872
IKSHC	WDBC	21	0.600000	0.872228
IKSHC	WDBC	21	0.700000	0.875181
IKSHC	WDBC	21	0.800000	0.888830
IKSHC	WDBC	21	0.900000	0.887843
IKSHC	WDBC	25	0.400000	0.880499
IKSHC	WDBC	25	0.500000	0.861995
IKSHC	WDBC	25	0.600000	0.782838
IKSHC	WDBC	25	0.700000	0.732880
IKSHC	WDBC	25	0.800000	0.885915
IKSHC	WDBC	25	0.900000	0.894368
IKSHC	WDBC	3	0.400000	0.887891
IKSHC	WDBC	3	0.500000	0.906989
IKSHC	WDBC	3	0.600000	0.890141
IKSHC	WDBC	3	0.700000	0.894039
IKSHC	WDBC	3	0.800000	0.893668
IKSHC	WDBC	3	0.900000	0.897793
IKSHC	WDBC	5	0.400000	0.900333
IKSHC	WDBC	5	0.500000	0.889524
IKSHC	WDBC	5	0.600000	0.882642
IKSHC	WDBC	5	0.700000	0.898951
IKSHC	WDBC	5	0.800000	0.864093
IKSHC	WDBC	5	0.900000	0.892788
IKSHC	WDBC	7	0.400000	0.904967
IKSHC	WDBC	7	0.500000	0.887982
IKSHC	WDBC	7	0.600000	0.903320
IKSHC	WDBC	7	0.700000	0.889561
IKSHC	WDBC	7	0.800000	0.901149
IKSHC	WDBC	7	0.900000	0.909100
IKSHC	WDBC	13	0.400000	0.912287
IKSHC	WDBC	13	0.500000	0.877494
IKSHC	WDBC	13	0.600000	0.797618
IKSHC	WDBC	13	0.700000	0.857032
IKSHC	WDBC	13	0.800000	0.767173
IKSHC	WDBC	13	0.900000	0.873056
IKSHC	WDBC	15	0.400000	0.781239
IKSHC	WDBC	15	0.500000	0.868202
IKSHC	WDBC	15	0.600000	0.857193
IKSHC	WDBC	15	0.700000	0.755408
IKSHC	WDBC	15	0.800000	0.900510
IKSHC	WDBC	15	0.900000	0.768897
IKSHC	WDBC	17	0.400000	0.844468
IKSHC	WDBC	17	0.500000	0.831122
IKSHC	WDBC	17	0.600000	0.894604
IKSHC	WDBC	17	0.700000	0.847321
IKSHC	WDBC	17	0.800000	0.853974
IKSHC	WDBC	17	0.900000	0.838386
IKSHC	WDBC	21	0.400000	0.833087
IKSHC	WDBC	21	0.500000	0.838001
IKSHC	WDBC	21	0.600000	0.834950
IKSHC	WDBC	21	0.700000	0.903700
IKSHC	WDBC	21	0.800000	0.887076
IKSHC	WDBC	21	0.900000	0.835715
